,date,code_insee_region,region,tmin,tmax,tmoy,annee,mois
21779,2018-02-26,53,Bretagne,-2.3,2.38,0.04,2018,2
21780,2018-02-26,76,Occitanie,-2.39,6.04,1.82,2018,2
21781,2018-02-27,28,Normandie,-5.76,-0.2,-2.98,2018,2
21782,2018-02-28,84,Auvergne-Rhône-Alpes,-11.74,2.45,-4.64,2018,2
21783,2018-03-01,84,Auvergne-Rhône-Alpes,-1.96,9.52,3.78,2018,3
21784,2018-03-01,44,Grand Est,-6.0,1.32,-2.34,2018,3
21785,2018-03-02,44,Grand Est,-2.51,2.6,0.04,2018,3
21786,2018-03-02,84,Auvergne-Rhône-Alpes,2.8,10.21,6.5,2018,3
21787,2018-03-02,94,Corse,8.3,15.35,11.82,2018,3
21788,2018-03-03,28,Normandie,0.52,10.82,5.67,2018,3
21789,2018-03-03,53,Bretagne,2.62,10.98,6.8,2018,3
21790,2018-03-05,93,Provence-Alpes-Côte d'Azur,6.55,11.45,9.0,2018,3
21791,2018-03-05,11,Île-de-France,4.02,12.68,8.35,2018,3
21792,2018-03-06,53,Bretagne,1.72,9.15,5.44,2018,3
21793,2018-03-07,93,Provence-Alpes-Côte d'Azur,4.02,13.62,8.82,2018,3
21794,2018-03-07,28,Normandie,3.66,10.16,6.91,2018,3
21795,2018-03-08,94,Corse,4.2,16.0,10.1,2018,3
21796,2018-03-10,75,Nouvelle-Aquitaine,10.75,18.58,14.66,2018,3
21797,2018-03-10,11,Île-de-France,10.52,17.4,13.96,2018,3
21798,2021-02-10,27,Bourgogne-Franche-Comté,-2.67,1.58,-0.54,2021,2
21799,2018-03-10,93,Provence-Alpes-Côte d'Azur,9.73,14.13,11.93,2018,3
21800,2021-02-10,84,Auvergne-Rhône-Alpes,2.07,9.7,5.89,2021,2
21801,2018-03-10,52,Pays de la Loire,11.15,16.9,14.02,2018,3
21802,2021-02-11,11,Île-de-France,-6.52,0.06,-3.23,2021,2
21803,2018-03-10,94,Corse,6.85,17.65,12.25,2018,3
21804,2021-02-12,28,Normandie,-2.84,1.42,-0.71,2021,2
21805,2018-03-11,11,Île-de-France,10.12,18.14,14.13,2018,3
21806,2021-02-13,93,Provence-Alpes-Côte d'Azur,2.83,7.87,5.35,2021,2
21807,2018-03-11,52,Pays de la Loire,9.5,15.35,12.42,2018,3
21808,2021-02-13,52,Pays de la Loire,-4.1,1.45,-1.33,2021,2
21809,2018-03-12,53,Bretagne,8.48,11.4,9.94,2018,3
21810,2021-02-14,44,Grand Est,-10.79,2.71,-4.04,2021,2
21811,2018-03-13,75,Nouvelle-Aquitaine,6.13,14.44,10.28,2018,3
21812,2021-02-14,76,Occitanie,-0.18,9.62,4.72,2021,2
21813,2018-03-13,84,Auvergne-Rhône-Alpes,4.29,11.46,7.88,2018,3
21814,2021-02-14,75,Nouvelle-Aquitaine,-0.19,12.62,6.22,2021,2
21815,2018-03-14,76,Occitanie,2.95,16.45,9.7,2018,3
21816,2021-02-15,93,Provence-Alpes-Côte d'Azur,-0.78,10.03,4.62,2021,2
21817,2018-03-14,53,Bretagne,6.95,12.95,9.95,2018,3
21818,2021-02-15,94,Corse,-1.15,10.55,4.7,2021,2
21819,2018-03-15,52,Pays de la Loire,7.25,13.1,10.18,2018,3
21820,2021-02-15,24,Centre-Val de Loire,0.48,12.02,6.25,2021,2
21821,2018-03-15,76,Occitanie,8.07,17.35,12.71,2018,3
21822,2021-02-16,76,Occitanie,4.95,15.45,10.2,2021,2
21823,2018-03-15,53,Bretagne,7.22,11.92,9.57,2018,3
21824,2021-02-16,84,Auvergne-Rhône-Alpes,3.07,14.01,8.54,2021,2
21825,2018-03-15,44,Grand Est,3.66,9.15,6.41,2018,3
21826,2021-02-16,52,Pays de la Loire,6.1,12.35,9.22,2021,2
21827,2018-03-15,94,Corse,6.7,16.95,11.82,2018,3
21828,2021-02-17,53,Bretagne,9.58,12.88,11.23,2021,2
21829,2018-03-15,93,Provence-Alpes-Côte d'Azur,8.45,12.45,10.45,2018,3
21830,2021-02-17,94,Corse,7.05,14.4,10.73,2021,2
21831,2018-03-16,75,Nouvelle-Aquitaine,6.14,13.68,9.91,2018,3
21832,2021-02-17,75,Nouvelle-Aquitaine,5.69,17.38,11.54,2021,2
21833,2018-03-16,44,Grand Est,5.32,13.44,9.38,2018,3
21834,2021-02-17,76,Occitanie,3.96,17.61,10.79,2021,2
21835,2018-03-16,32,Hauts-de-France,6.18,13.24,9.71,2018,3
21836,2021-02-17,28,Normandie,6.82,13.48,10.15,2021,2
21837,2018-03-17,93,Provence-Alpes-Côte d'Azur,5.62,12.45,9.03,2018,3
21838,2021-02-17,27,Bourgogne-Franche-Comté,4.75,13.68,9.22,2021,2
21839,2018-03-17,27,Bourgogne-Franche-Comté,4.45,8.17,6.31,2018,3
21840,2021-02-18,24,Centre-Val de Loire,5.6,14.1,9.85,2021,2
21841,2018-03-18,76,Occitanie,4.23,11.86,8.05,2018,3
21842,2021-02-19,84,Auvergne-Rhône-Alpes,5.68,15.65,10.66,2021,2
21843,2018-03-18,24,Centre-Val de Loire,1.08,3.5,2.29,2018,3
21844,2021-02-19,32,Hauts-de-France,2.08,11.84,6.96,2021,2
21845,2018-03-19,94,Corse,6.85,15.1,10.98,2018,3
21846,2021-02-19,24,Centre-Val de Loire,3.9,16.53,10.22,2021,2
21847,2018-03-19,76,Occitanie,2.12,12.11,7.11,2018,3
21848,2021-02-19,53,Bretagne,5.12,14.08,9.6,2021,2
21849,2018-03-19,52,Pays de la Loire,-1.15,5.1,1.98,2018,3
21850,2021-02-20,24,Centre-Val de Loire,6.37,19.07,12.72,2021,2
21851,2018-03-20,76,Occitanie,1.73,6.29,4.01,2018,3
21852,2021-02-20,75,Nouvelle-Aquitaine,10.54,18.38,14.46,2021,2
21853,2018-03-20,53,Bretagne,0.75,8.32,4.54,2018,3
21854,2021-02-21,52,Pays de la Loire,9.45,15.5,12.48,2021,2
21855,2018-03-20,28,Normandie,-0.86,7.42,3.28,2018,3
21856,2021-02-21,84,Auvergne-Rhône-Alpes,7.05,16.41,11.73,2021,2
21857,2018-03-21,94,Corse,4.85,11.4,8.12,2018,3
21858,2021-02-21,11,Île-de-France,7.5,18.34,12.92,2021,2
21859,2018-03-21,76,Occitanie,1.45,9.65,5.55,2018,3
21860,2021-02-22,75,Nouvelle-Aquitaine,9.92,13.27,11.6,2021,2
21861,2018-03-21,84,Auvergne-Rhône-Alpes,-1.22,6.83,2.8,2018,3
21862,2021-02-22,24,Centre-Val de Loire,7.68,16.52,12.1,2021,2
21863,2018-03-22,84,Auvergne-Rhône-Alpes,-4.12,8.38,2.13,2018,3
21864,2021-02-22,32,Hauts-de-France,8.26,14.52,11.39,2021,2
21865,2018-03-22,28,Normandie,-0.28,7.66,3.69,2018,3
21866,2021-02-22,93,Provence-Alpes-Côte d'Azur,9.85,14.93,12.39,2021,2
21867,2018-03-22,27,Bourgogne-Franche-Comté,-3.98,7.27,1.64,2018,3
21868,2021-02-23,44,Grand Est,6.56,19.25,12.91,2021,2
21869,2018-03-23,76,Occitanie,1.29,13.45,7.37,2018,3
21870,2021-02-24,44,Grand Est,5.69,19.26,12.48,2021,2
21871,2018-03-23,84,Auvergne-Rhône-Alpes,1.75,9.45,5.6,2018,3
21872,2021-02-24,27,Bourgogne-Franche-Comté,4.67,20.55,12.61,2021,2
21873,2018-03-24,52,Pays de la Loire,6.95,13.35,10.15,2018,3
21874,2021-02-24,84,Auvergne-Rhône-Alpes,5.07,20.23,12.65,2021,2
21875,2018-03-24,27,Bourgogne-Franche-Comté,-0.7,15.02,7.16,2018,3
21876,2021-02-25,52,Pays de la Loire,6.35,14.0,10.18,2021,2
21877,2018-03-24,44,Grand Est,-0.44,13.16,6.36,2018,3
21878,2021-02-25,94,Corse,4.7,15.45,10.08,2021,2
